DATE,humidity,pressure,radiation,precipitation,temp_mean,temp_min,temp_max,wind_speed
20000101,0.89,1.0286,0.2,0.03,2.9,1.6,3.9,1.6
20000102,0.87,1.0318,0.25,0,3.6,2.7,4.8,2
20000103,0.81,1.0314,0.5,0,2.2,0.1,4.8,3.4
20000104,0.79,1.0262,0.63,0.35,3.9,0.5,7.5,4.9
20000105,0.9,1.0246,0.51,0.07,6,3.8,8.6,3.6
20000106,0.85,1.0244,0.56,0,4.2,1.9,6.9,3.4
20000107,0.84,1.0267,0.2,0,4.7,1.8,6.2,2.8
20000108,0.79,1.0248,0.54,0,5.6,4.1,8.4,3.6
20000109,0.88,1.0243,0.11,0.65,4.6,3.8,5.7,3
20000110,0.91,1.0337,0.06,0.09,2.4,1.4,3.8,1.9
20000111,0.88,1.0373,0.06,0,3.2,2.6,3.9,1.8
20000112,0.77,1.0319,0.1,0,2.4,0.8,3,2.4
20000113,0.78,1.0226,0.66,0,1.7,-0.2,5,3.1
20000114,0.8,1.023,0.69,0,0.6,-1,3.8,4.9
20000115,0.85,1.0311,0.51,0,-1.3,-2.9,1.5,6.8
20000116,0.8,1.0346,0.23,0,-0.4,-2.1,1.8,6.1
20000117,0.79,1.0328,0.33,0,0.9,-3.2,4.2,3.6
20000118,0.83,1.0267,0.18,0.03,4.5,3.8,5.3,3.5
20000119,0.69,1.0307,0.38,0,2.4,-0.7,3.9,4
20000120,0.72,1.0333,0.53,0,0.4,-2.7,2.9,2
20000121,0.74,1.0297,0.18,0,2.5,1.6,3.5,2
20000122,0.8,1.017,0.09,0.12,3.1,1.9,3.9,4.6
20000123,0.86,1.0151,0.33,0.42,2,-0.1,3.5,3.5
20000124,0.78,1.0235,0.29,0.02,-4,-7.6,-0.2,2.6
20000125,0.61,1.0302,0.87,0,-6.5,-8.5,-3.7,4.9
20000126,0.71,1.0354,0.84,0,-6.8,-10.6,-3.2,4.1
20000127,0.76,1.0342,0.89,0,-5.2,-8.7,-0.7,1.6
20000128,0.78,1.0269,0.53,0,-1.7,-6.2,4.8,3.8
20000129,0.65,1.0166,0.11,0.13,7.4,3.7,9.5,7.8
20000130,0.74,1.0224,0.1,0.02,10,9,10.7,7
20000131,0.74,1.0304,0.42,0,8.1,3.5,10.6,3.6
20000201,0.84,1.0248,0.88,0,5.4,1.1,11.2,2.6
20000202,0.89,1.0221,0.13,0.99,5.5,2.8,8.5,3.6
20000203,0.74,1.0361,0.55,0,5.2,1.8,8.4,1.2
20000204,0.78,1.0391,0.96,0,3.3,-0.9,8.3,2
20000205,0.65,1.0343,0.94,0,6.9,1.9,13.7,2.8
20000206,0.7,1.0274,0.69,0,6,2.6,11.9,4.6
20000207,0.67,1.0239,0.33,0.01,7.6,3.3,11.3,6.5
20000208,0.72,1.017,0.35,0.44,11.4,8.7,14.1,7.4
20000209,0.72,1.0281,0.55,0.09,5.6,3.9,9.4,3.6
20000210,0.67,1.0264,1.11,1.27,6.2,1.9,11.1,4.6
20000211,0.84,1.0286,0.13,0.02,4.2,3,7,2.1
20000212,0.71,1.0297,0.26,0.13,2.8,1.5,4.3,5.1
20000213,0.77,1.025,0.15,0.04,5.6,2.8,7.6,4.8
20000214,0.82,1.0252,0.51,0.15,7,4.6,9.7,3.4
20000215,0.8,1.0197,0.49,1.22,8.3,6.7,10.9,5.1
20000216,0.79,1.0103,0.62,0.48,4.4,0.9,9.7,6.9
20000217,0.78,1.0134,0.44,0.02,2.1,0.6,3.9,5.4
20000218,0.8,1.0127,0.25,0.39,4.2,0.6,9.5,8.1
20000219,0.77,1.0123,0.5,0.25,6,3.6,8.3,4.9
20000220,0.85,1.0269,0.28,0.14,1.9,-0.7,4,1.5
20000221,0.72,1.031,1.27,0,1.3,-2.2,5.6,0.9
20000222,0.68,1.0273,1.35,0,2.1,-1.1,7.4,1.8
20000223,0.67,1.0289,0.88,0,2.7,-1.3,7.1,3
20000224,0.76,1.0306,0.37,0,3.5,-0.2,6.1,4.5
20000225,0.76,1.0287,0.32,0.45,9.5,5.8,11.5,4.1
20000226,0.85,1.0315,0.56,0.04,7.4,5.2,9.9,1.8
20000227,0.76,1.0283,1.43,0,9,4.5,14.5,3.9
20000228,0.61,1.0219,1.39,0.42,11,4.2,19.5,5.5
20000229,0.8,1.0179,0.25,0.9,8.1,6.3,10.2,7.1
20000301,0.81,1.0099,0.35,0.36,5.8,3.5,9.7,5.5
20000302,0.64,1.0258,1.04,0,4.4,2.4,7.2,4.6
20000303,0.59,1.0185,0.46,0.53,7.5,4.3,9.5,7.1
20000304,0.61,1.0234,1.28,0,5.1,0.2,8.5,2.9
20000305,0.54,1.0357,1.68,0,1.7,-2.2,6.4,2.4
20000306,0.56,1.0322,1.69,0,3.9,-1.2,10.3,2
20000307,0.61,1.0299,1.58,0,6.4,-0.1,13.7,1.1
20000308,0.68,1.0306,1.03,0.56,9.2,3.4,15,2.6
20000309,0.53,1.0278,1.15,0,14.1,10.1,19.3,3.8
20000310,0.74,1.0283,0.63,0,10.3,6,12.9,2.4
20000311,0.66,1.0225,1.43,0,11.1,6,16.7,2.9
20000312,0.65,1.0243,1.43,0,9.3,3.6,13.2,4.4
20000313,0.69,1.026,1.72,0.04,7.5,1,13.9,3
20000314,0.7,1.0242,0.63,0.56,10.5,7.2,13.4,4
20000315,0.61,1.0306,1.23,0,5.4,0.9,8.2,3.5
20000316,0.73,1.032,0.36,0.05,5.4,0.5,8.4,2.6
20000317,0.78,1.0285,0.38,0.03,8.1,6.4,10.4,3.4
20000318,0.79,1.0268,0.45,0.17,7.4,5.4,8.8,4.5
20000319,0.79,1.0287,0.67,0,6.5,5,9.2,4.8
20000320,0.5,1.0257,1.88,0,6.9,1.7,12.1,6
20000321,0.56,1.0217,1.95,0,8.2,1.2,15.3,3.1
20000322,0.54,1.019,1.95,0,10.3,3.2,18.5,2.9
20000323,0.6,1.0148,1.1,0.02,11,4.9,17.2,3.8
20000324,0.65,1.014,0.8,0,11.1,8.3,14.5,5
20000325,0.62,1.0158,1.71,0,10.9,6.5,17,3.8
20000326,0.69,1.0127,0.95,0.24,8,5.4,11.1,5.1
20000327,0.74,1.0089,1.04,0.02,6,3.3,9.5,2.6
20000328,0.78,1.0104,0.81,0.07,5.7,2.9,10.1,4.4
20000329,0.87,1.0083,0.18,0.47,3.8,2.7,5.2,2.8
20000330,0.7,1.0133,0.68,0,5.7,3.8,7.7,2.4
20000331,0.61,1.0088,1.6,0.29,8.7,4.5,13.8,3
20000401,0.77,1.008,0.95,0,7.1,3.8,10.2,4.2
20000402,0.62,1.0028,2.1,0.54,9.2,2,16.2,5
20000403,0.6,0.992,1.29,0,12.9,7.4,19.7,3.6
20000404,0.68,0.9942,1.72,0.28,11.5,5.2,19.7,4.8
20000405,0.84,1.0063,0.7,0.56,8.6,4.6,11.3,3.6
20000406,0.84,1.0242,0.23,0,3.8,1,5.4,4.5
20000407,0.63,1.0289,2.43,0,5.9,-1.6,13.9,5.9
20000408,0.53,1.0216,2.48,0,9.1,0.4,16.9,5.1
20000409,0.55,1.0097,1.59,0,10.3,3.5,16.1,2.6
20000410,0.59,1.0059,1.61,0.16,10.2,5.6,15.2,5.2
20000411,0.77,0.9987,1.19,1.38,9.6,7.3,13.6,5.2
20000412,0.64,0.9972,1.93,0.37,8.4,4.6,13.5,6.8
20000413,0.81,1.0026,0.82,0.5,8.3,5.7,11.5,6.2
20000414,0.69,1.0007,2.28,0,12.5,7.3,19.6,5.2
20000415,0.67,1.0029,0.83,0.1,10,6.1,14.2,8.1
20000416,0.75,1.0023,0.94,0.02,8.6,4.6,14.3,4.9
20000417,0.76,1.0076,0.45,0.01,9.6,8,11.4,6.5
20000418,0.75,1.0112,0.82,0,9.6,5.6,12.2,5.8
20000419,0.71,1.0132,1.6,0,10.1,4.1,16.7,5.1
20000420,0.63,1.015,2.59,0,12.9,4,20.9,3.6
20000421,0.59,1.016,2.42,0,16.8,11.2,23.4,2.9
20000422,0.56,1.0114,2.29,0,18.4,10.1,27.7,2.8
20000423,0.7,1.0112,1.44,0.7,14.8,9.7,21.3,4
20000424,0.82,1.0154,0.84,0.73,10.3,6.8,14.3,3.4
20000425,0.67,1.013,2.77,0,13.5,6,20.5,4.2
20000426,0.57,1.0099,2.67,0,17.8,9.6,26.5,3.9
20000427,0.64,1.0078,1.53,0,16.3,11.6,22.9,2.9
20000428,0.74,1.008,1.78,0,14.9,11.7,22.4,3.9
20000429,0.77,1.0174,0.68,0,11.8,8.5,14.1,2.1
20000430,0.71,1.0198,2.68,0,15.1,7.3,22,4.1
20000501,0.73,1.0171,2.61,0,17,10.9,22.9,6.4
20000502,0.76,1.0161,2.27,0,17,12.6,22.6,6
20000503,0.75,1.0175,1.74,0,16.5,12.2,22.6,4.9
20000504,0.67,1.017,2.07,0,17.5,11.1,23.5,5.5
20000505,0.7,1.0145,2.41,0,17,12,25.5,3.5
20000506,0.71,1.0134,2.45,0,16.7,11.6,23.5,2.9
20000507,0.67,1.0152,2.55,0,18,11.6,25,1.9
20000508,0.75,1.0183,1.91,0.73,16.9,12.6,23.9,2.2
20000509,0.65,1.0172,2.86,0,18.8,11.6,26.9,2.8
20000510,0.64,1.015,2.64,0,20,13.4,26.7,3.4
20000511,0.67,1.0151,2.72,0.11,20.5,14.7,28,3.6
20000512,0.8,1.0207,1.1,0,16.7,14.5,20.2,1.9
20000513,0.82,1.0216,0.98,0.05,16.2,13.2,19.7,1.2
20000514,0.68,1.0219,3.02,0,18.4,12.7,24.7,1.9
20000515,0.58,1.0204,3.06,0,19.4,10.4,27.8,1.9
20000516,0.6,1.0171,2.66,0,20.9,14.3,28.5,4.1
20000517,0.74,1.016,1.74,0.19,17.3,13.7,23.4,4.1
20000518,0.68,1.0136,1.18,0.16,13.6,9.3,15.9,5.1
20000519,0.66,1.0142,2.25,0.02,12,8.7,16.3,5.1
20000520,0.58,1.0144,2.81,0.03,13,8.3,18.2,1.6
20000521,0.68,1.0118,1.85,0.32,12.8,6.6,18.2,5.1
20000522,0.64,1.0198,2.72,0,12.4,8.7,17.6,2.5
20000523,0.61,1.0209,3.16,0,14.4,6.5,21.4,3.1
20000524,0.6,1.0175,3.18,0,17.4,9.7,24.6,4.5
20000525,0.69,1.0172,1.06,0,16.8,13.2,21.1,4.2
20000526,0.71,1.0149,2.68,1.5,18.4,12.4,26.3,6.2
20000527,0.75,1.0174,1.64,0.52,13.4,10.1,17.6,6.8
20000528,0.68,1.0126,0.81,0.37,14.1,10.3,18.5,6
20000529,0.66,1.0179,2.13,0.14,12.8,9.2,17.4,3.5
20000530,0.79,1.0165,0.79,1.08,12.4,7.8,17.5,6.1
20000531,0.78,1.0194,1.55,0.24,15.1,11.4,18.1,2.9
20000601,0.68,1.0234,3.19,0,17.8,11,24.1,2.8
20000602,0.63,1.0203,3.1,0,21.7,13.8,30.1,2.9
20000603,0.64,1.0174,2.97,0.38,22.8,16,30.6,2.6
20000604,0.65,1.0171,3.07,0.38,23.4,18.2,28.8,3.2
20000605,0.8,1.0162,2.11,4.11,19.6,15.9,26.2,3.6
20000606,0.84,1.0221,0.88,0.1,13.4,11.5,15.9,3.6
20000607,0.65,1.0237,3.03,0,15.7,10.9,21.2,2.2
20000608,0.61,1.0184,3.35,0,18.4,9,26.1,4.2
20000609,0.6,1.0133,3.24,0.24,22.9,14.5,29.9,3.9
20000610,0.7,1.0131,2.58,0,22,17.7,27.4,3.4
20000611,0.84,1.0166,0.42,0,17.7,13.5,20.1,2.9
20000612,0.68,1.0261,2.43,0,18.3,13.4,23.3,2.1
20000613,0.69,1.0243,2.85,0.35,20.6,14.2,27.1,2.9
20000614,0.72,1.0236,3.05,0,21.3,15.8,28.3,2
20000615,0.65,1.0244,2.8,0.08,20.8,16.4,26.5,1.9
20000616,0.59,1.0258,2.78,0,17.9,12,22.1,3.8
20000617,0.61,1.0277,3.38,0,16.9,9.4,24.1,4.8
20000618,0.5,1.026,3.52,0,19.7,9.4,29,4.1
20000619,0.48,1.0214,3.36,0,23,12.6,32.3,3.1
20000620,0.5,1.0168,3.22,0,25.1,17.1,32.6,3.9
20000621,0.5,1.0166,3.23,0,24.6,18.1,31.5,4.5
20000622,0.75,1.02,1.05,0.45,18.7,16.3,22,5.5
20000623,0.63,1.0215,2.29,0,17.8,15.4,22,4.5
20000624,0.77,1.0194,0.74,0.46,14.1,11.4,18.5,3.8
20000625,0.69,1.0207,1.87,0,13.7,10.3,17.8,1.6
20000626,0.62,1.0227,3.15,0,14.6,8,21.7,4.8
20000627,0.57,1.0207,3.28,0,15.5,7.5,23.1,5.8
20000628,0.68,1.018,1.7,0.19,14.7,9.7,19.5,2.2
20000629,0.58,1.0189,3.13,0,17.1,10.8,23.3,2.2
20000630,0.54,1.0154,3.24,0,18.8,10.4,26,1.6
20000701,0.65,1.0121,2.52,0.25,20.9,13.6,27.4,3.1
20000702,0.68,1.0112,3,0.79,23.8,17.2,33,2.6
20000703,0.81,1.011,1.38,0.91,19.9,17.6,23.3,2.6
20000704,0.71,1.0095,2.37,0.6,19.7,16.5,23.6,5.4
20000705,0.62,1.0178,2.71,0,19.4,15.8,24.1,4.5
20000706,0.6,1.0179,3.12,0.26,20.9,13.8,27,4.4
20000707,0.75,1.0112,1.93,0.32,19.9,15.9,27.9,4.8
20000708,0.7,1.0163,1.51,0.07,15.4,12.8,19.1,3.6
